SKU,UPS,Regualer Price ,Sales Price ,category,Brand 
1100114,4390097648,41.26,0.99,,
1100148,71986955954,11.23,22.39,,
1100155,36373612001,5.19,7.99,,
1100494,7094206612,1.9,4.29,,
1100643,3870300118,3.08,5.99,,
1100965,7301000455,7.68,10.59,,
1100999,7301000454,4.62,6.99,,
1101468,4116700843,4.89,10.19,,
1101609,5113120152,10.85,21.79,,
1101690,5113120059,15.04,30.89,,
1101831,5113120158,15.04,30.89,,
1101856,5113120060,15.34,30.89,,
1102532,71986955955,11.23,22.39,,
1102763,4910040009,16.31,25.79,,
1103126,7094206614,1.9,4.29,,
1103316,36382401064,8.49,14.19,,
1103837,30573018810,11.99,19.09,,
1104736,31011902090,5.77,9.29,,
1104744,7431219377,13.18,20.79,,
1105014,30281020512,31.5,52.5,,
1105113,71986955957,11.23,22.39,,
1105162,7940001343,3.57,5.69,,
1105626,3076819607,23.22,33.19,,
1106020,1111112114,5.15,6.69,,
1107440,9089150002,42.5,13.99,,
1107465,77122410510,17.11,29.99,,
1107572,9089150001,42.5,13.99,,
1108869,30031871612,5.4,9.49,,
1110386,38290005750,1.98,2.99,,
1112143,1093909033,1.84,4.19,,
1112200,1093909133,2.28,6.29,,
1112234,1093909233,2.28,5.69,,
1112408,38137003566,5.2,7.99,,
1114016,77122405019,14.48,25.39,,
1114248,78765160667,6.79,12.49,,
1114412,77122405016,14.48,25.39,,
1114917,31074201335,2.95,4.49,,
1115005,77122450122,14.48,25.39,,
1115484,7940050720,3.88,6.19,,
1115666,77122405011,14.48,25.39,,
1116359,7940050730,4.18,6.19,,
1116870,7431219404,9.85,15.49,,
1117118,7940050740,3.88,6.19,,
1117688,7940050750,3.88,6.19,,
1118454,3700014216,26.14,8.99,,
1118702,3805600075,14.13,28.19,,
1118959,83270900001,4.69,8.29,,
1119692,2571567284,2.87,6.49,,
1120187,5113120139,3.68,7.59,,
1120237,5113120076,21.51,43.39,,
1120278,5113120136,10.97,22.59,,
1120344,32420843272,25.53,32.99,,
1120427,4116706620,5.56,7.99,,
1120807,73942388048,15.25,24.09,,
1121284,30536009185,6.4,13.39,,
1121441,3700022879,3.06,4.09,,
1122704,1650053761,4.74,8.09,,
1123223,1111161120,4.59,5.89,,
1123512,2571523089,12.23,21.99,,
1124148,85815000035,73.58,147.19,,
1124627,3700074087,14.97,20.29,,
1124668,2571523087,12.31,21.99,,
1125624,70738706596,15.25,3.89,,
1125996,3980010286,16,22.79,,
1126523,85815000015,81.5,162.99,,
1126580,2571567755,2.52,6.19,,
1127000,2571566445,36.26,59.99,,
1127026,5310033883,3.24,5.09,,
1127323,38137003955,6.49,9.79,,
1127414,38137003916,7.91,11.19,,
1128347,1093942502,2.43,5.09,,
1128628,3980010287,16,22.79,,
1129196,30087510069,21.29,22.79,,
1129345,3700042728,2.84,4.09,,
1129600,8667931388,46.39,5.59,,
1130327,3980010288,16,22.79,,
1130558,82238325404,11.95,22.99,,
1130582,82238325407,5.3,10.59,,
1130772,82775507013,3.1,6.39,,
1131143,4116716524,6.91,10.79,,
1132885,89734300136,10.45,17.69,,
1133313,74098527343,2.64,3.69,,
1133602,3805600012,3.11,6.29,,
1133859,3160402727,10.53,16.79,,
1137165,2571597485,3.06,6.99,,
1137256,35060014054,119.81,199.68,,
1137777,74422944003,15,29.99,,
1138015,74422944004,15,29.99,,
1138528,4133344001,9.58,11.89,,
1138775,2571567790,1.96,4.49,,
1138924,64015420642,60.05,90.19,,
1139237,2571567057,3.04,6.99,,
1139518,64263201444,19.78,41.89,,
1140276,7685570068,3.76,6.19,,
1140623,1093944822,3.93,7.49,,
1141035,2360182900,15.16,26.19,,
1141340,2571567118,2.96,6.49,,
1141571,2360106050,14.39,28.79,,
1142207,2006560023,11.13,19.79,,
1142462,89277300118,59.4,97,,
1142587,2360103201,9.04,18.09,,
1142884,85815000037,77.25,154.49,,
1142918,85815000019,81.5,162.99,,
1142983,3870310010,10.82,17.89,,
1143080,3870310100,3.76,6.39,,
1143213,4138821021,41.62,3.49,,
1143296,1093944222,2.73,5.39,,
1143858,3160402730,7.43,12.19,,
1144427,30573286810,6.17,8.89,,
1144492,85815000039,77.25,154.49,,
1144674,37811201104,4.05,9.99,,
1144997,32571523304,59.16,99.99,,
1145309,8525185033,73.18,109.79,,
1145697,1093922822,1.62,3.19,,
1146620,4746904040,7.48,11.39,,
1146661,30087020142,23.19,24.29,,
1146687,85593300051,7.07,11.49,,
1146810,1150920632,2.67,5.19,,
1147271,76318924228,9.3,16.39,,
1147586,31225822305,3.67,6.49,,
1147842,30087510015,74.73,92.29,,
1148089,7214063413,9.26,14.69,,
1148410,31015808375,6.22,7.99,,
1148469,3160401290,6.93,10.29,,
1148477,74098522872,6.6,10.99,,
1148501,8525185000,8.03,12.09,,
1148691,30087510022,71.49,88.29,,
1148923,30087510024,74.73,92.29,,
1148972,30087510029,31.31,38.69,,
1149111,85815000041,77.25,154.49,,
1149301,2360103202,8.95,17.89,,
1149574,64015419750,59.74,89.69,,
1149871,76318924267,7.19,12.69,,
1149939,9492216870,22.77,31.99,,
1150333,4116701760,4.63,9.49,,
1150366,76318924268,7.19,12.69,,
1150499,30068042017,16.16,21.39,,
1150671,76318924266,7.19,12.69,,
1151174,64786510094,5.75,9.49,,
1151315,9492229343,72.86,145.69,,
1151489,1093980433,3.03,7.39,,
1151885,9492229344,72.86,59.59,,
1151935,81506600101,6.84,12.49,,
1151984,85815000038,77.25,154.49,,
1152115,31015885000,6.22,7.99,,
1152172,30065036103,5.29,8.69,,
1152255,2279691614,7.32,10.49,,
1152354,74098521690,13.2,21.89,,
1152875,81263400101,16.83,27.19,,
1152974,1093980533,1.88,4.49,,
1153014,9492229345,72.86,59.59,,
1153352,1093980633,1,2.69,,
1153477,74098521434,4.62,7.69,,
1153493,64015420668,60.05,95.89,,
1153543,3160402665,16.96,23.09,,
1153683,64015418860,197.43,296.19,,
1153790,1093980833,1.86,4.49,,
1153972,8525185003,14.33,21.49,,
1154202,1093980733,0.98,2.49,,
1154400,85815000040,77.25,154.49,,
1155365,74098521495,3.96,6.09,,
1155522,30574703412,17.5,22.89,,
1155597,31074201074,4.58,8.79,,
1155936,74098522885,7.26,12.09,,
1156199,4746900312,7.48,11.39,,
1156462,30904773552,2.68,3.69,,
1156850,4138820392,4.85,10.29,,
1157205,64015420644,75.36,113.09,,
1157296,8525185018,38.23,57.39,,
1157437,38137004424,3.38,5.79,,
1157510,4138821041,2.59,5.49,,
1158138,38137004708,2.12,4.19,,
1159342,1650053505,9.42,14.99,,
1159441,1650053503,9.42,14.99,,
1159789,8525185020,80.8,121.19,,
1160209,4116701704,2.89,5.99,,
1161579,8525185007,29.36,44.09,,
1161744,31031034038,3.46,7.19,,
1161769,8525185022,118.86,178.29,,
1162049,1093944252,2.79,5.39,,
1162205,38290037424,39.38,59.09,,
1162585,38137004723,3.54,6.99,,
1163047,30068041830,16.16,21.39,,
1163245,2165900011,6.69,13.19,,
1163252,31743398773,64.29,83.49,,
1163294,85815000027,77.25,154.49,,
1164003,7940086660,3.39,5.49,,
1164581,7940086670,3.39,5.59,,
1164631,7418229094,1.54,2.49,,
1164755,3700041351,3.05,4.19,,
1166081,76687800270,5.07,6.99,,
1166131,64015420672,75.36,124.39,,
1167428,79319002026,7.15,12.29,,
1167535,9296101947,14.39,24.59,,
1167717,82775507012,5.08,8.39,,
1168178,7467645811,20.7,38.49,,
1168442,7940026540,3.56,5.69,,
1168749,7985441113,5.34,8.29,,
1169275,76845510444,44.36,73.93,,
1169408,1093983342,1.84,3.59,,
1170505,38290400616,75.53,113.29,,
1171628,4110080521,19.8,24.19,,
1171750,7214063429,7.95,11.79,,
1171842,38151902286,2.68,4.29,,
1172261,85815000002,77.25,154.49,,
1172691,85815000026,77.25,154.49,,
1172865,4740004952,6.29,10.69,,
1173525,1093982242,2.1,4.09,,
1173707,64015420646,66.24,105.79,,
1174085,4740004953,6.77,10.69,,
1174259,8525185012,90.73,136.09,,
1174382,8680087270,10.97,16.39,,
1174440,4110080531,8.39,10.89,,
1175546,7166100120,4.92,5.89,,
1175553,85815000004,77.25,154.49,,
1176460,3927822010,4.03,8.79,,
1176924,30766074565,5.89,8.99,,
1177179,38137008295,0.97,2.99,,
1177278,30395063516,38.8,58.79,,
1177997,85815000006,77.25,154.49,,
1178219,85815000011,81.5,162.99,,
1178227,7033071194,2.47,4.49,,
1178771,89468900159,23.58,39.69,,
1178847,7033071195,3.29,5.99,,
1178862,8525185029,16.01,23.99,,
1179316,85815000003,77.25,154.49,,
1179324,85815000013,81.5,162.99,,
1180231,2571552631,22.29,42.39,,
1180389,7418226012,1.54,2.49,,
1181148,7467663050,8.53,15.09,,
1181437,4740007106,12.7,18.49,,
1181650,32390000617,3.72,8.99,,
1181841,38137102125,3.6,5.49,,
1182138,7560900740,22.8,34.39,,
1182385,85815000010,81.5,162.99,,
1182856,74098522658,8.58,13.19,,
1182922,7560900741,23.95,35.19,,
1183243,99991183243,79.68,119.49,,
1183532,3700039315,5.02,5.59,,
1183706,74098522881,2.64,3.69,,
1183755,82775506017,4.73,5.89,,
1184050,3700039316,4.64,5.59,,
1184498,74098522653,5.94,9.89,,
1184944,5113183558,4.43,9.99,,
1185255,3700012340,3.83,5.69,,
1185271,5113183556,3.3,6.69,,
1185495,85815000007,77.25,154.49,,
1185644,7467664411,12,21.19,,
1185693,3320018053,3.97,5.79,,
1185941,34601707703,11.39,20.99,,
1186154,64015420678,89.94,148.39,,
1186550,38137003657,6.67,10.19,,
1187376,4740011015,5.81,8.59,,
1187558,82744400032,5.54,10.29,,
1187624,3566410857,11.25,24.49,,
1187806,7940033943,6.32,10.59,,
1188275,31254662213,2.23,3.29,,
1188457,3566410866,11.25,24.49,,
1188671,31254662219,2.23,3.29,,
1188804,35789653101,2.44,4.39,,
1188895,3566410858,11.25,24.49,,
1189240,2571567375,3.02,7.39,,
1190487,7431218187,10.56,16.69,,
1190529,70592888801,20.9,27.99,,
1190651,1150906027,4.46,9.59,,
1190842,72251002600,7.23,10.09,,
1190875,85824600207,113.87,149.98,,
1190966,5113120057,8.69,17.89,,
1191147,36697710703,15.02,30.09,,
1191170,3566410863,11.25,24.49,,
1191568,7094200201,1.9,2.99,,
1191790,3566410868,11.25,24.49,,
1191824,7105324442,2.69,5.19,,
1192251,38137003237,3.6,5.69,,
1192640,85815000005,77.25,154.49,,
1192681,8019630282,1.57,2.89,,
1193317,1158847430,2.31,3.29,,
1193325,1158800403,2.65,3.99,,
1193689,3566410854,10.69,23.19,,
1193754,7940055100,4.49,6.19,,
1193887,31074202349,4.22,6.79,,
1194281,30087123941,39.69,42.49,,
1195072,64015420648,89.94,148.39,,
1195551,4138800302,2.5,5.49,,
1195940,82775507011,5.08,8.39,,
1196153,4138883124,22.03,2.09,,
1198183,3700012343,3.83,5.69,,
1198365,3500068782,4.92,8.19,,
1198522,85815000012,81.5,162.99,,
1199074,83406100004,7.91,14.39,,
1199082,83406100041,15.4,23.59,,
1199520,1116910011,4.35,6.89,,
1199538,1116910012,6.94,11.69,,
1199652,77122410505,17.11,29.99,,
1200203,1018104031,5.8,9.99,,
1200252,7061070009,30.06,77.89,,
1200443,7061070013,26.87,69.59,,
1200450,7061070016,26.65,68.99,,
1200468,7061070040,20.6,53.39,,
1200559,7061070060,23.39,60.59,,
1200963,89299200284,15.18,4.49,,
1201185,30225052053,5.88,9.79,,
1201581,7430000401,4.69,7.79,,
1202217,30521001300,4.33,7.09,,
1202225,30521001400,6.11,9.19,,
1202365,30521004400,5.55,9.09,,
1203199,85815000032,77.25,154.49,,
1204890,1650053082,6.17,8.99,,
1204908,8845211406,26.77,53.59,,
1205483,85815000034,77.25,154.49,,
1205855,9670538258,75.08,117.59,,
1206838,2318508155,8.68,19.79,,
1207646,64015419775,61.62,98.49,,
1207661,9670538259,74.34,111.49,,
1208479,75475681034,2.48,4.99,,
1208719,8525166037,1.3,1.99,,
1208826,85815000031,77.25,154.49,,
1209147,7940019720,5.63,7.29,,
1209360,88438912342,3.36,6.69,,
1209469,35274747570,18.42,29.79,,
1209873,31284355104,2.75,4.79,,
1209964,75475691312,21.13,35.22,,
1209972,75475691322,22.3,37.17,,
1210137,85815000020,81.5,162.99,,
1210194,3700012345,3.83,5.69,,
1211473,30761012012,4.53,6.59,,
1212224,38137005616,3.07,5.29,,
1212372,7006601706,2.55,4.59,,
1212505,7061015560,32.99,93.89,,
1212786,85815000029,77.25,154.49,,
1212976,85815000017,81.5,162.99,,
1213016,1093942522,2.06,3.99,,
1213586,30761007724,4.76,6.89,,
1213792,7666000862,1.63,2.59,,
1213800,7666000866,4.9,6.99,,
1213818,7666000864,2.92,4.49,,
1213834,8327200849,4.49,7.79,,
1214196,7094200601,0.72,1.59,,
1216761,32551555979,20,3.99,,
1217041,73437000004,7.66,10.49,,
1217157,3700012430,3.55,5.69,,
1217199,3980001361,5.16,7.69,,
1218924,7061070030,21.73,56.29,,
1219294,30761017120,7.36,10.69,,
1219369,68907685333,30.35,60.69,,
1219468,7061050013,47.25,73.99,,
1219831,89012400001,33.99,67.99,,
1220342,30761011907,5.66,8.19,,
1220722,74340102140,3.71,7.39,,
1220805,30761023408,5.66,8.19,,
1220821,68907685343,40.75,81.49,,
1220946,34601709712,7.62,12.99,,
1220953,34601709530,13.05,23.69,,
1221589,7007456091,8.23,10.89,,
1221670,7061020900,4.87,13.39,,
1221746,7061020901,6.39,17.59,,
1221852,7061020902,7.82,21.59,,
